"","comicName","comicSummary","comicGrade"
"389","주말엔 보랏빛 향기","성우지망생의 주말","9.77"
"390","지켜라!여의주!","그녀의비밀을지켜줘!","9.71"
"391","애쉬그레이","판타지","9.90"
"392","개판오분전","방과후고교생활이야기","9.72"
"393","합법해적 파르페","공주님은 해적.","9.94"
"394","사랑하는 제자들","나갈 수 없는 학교","9.84"
"395","결혼은 싫어","독신주의자에게 나타난 신랑감들","9.73"
"396","일단은 프리터 입니다.","프리터족 이야기.","9.79"
"397","우주n은하","우주에서 온 소녀들","9.87"
"398","솔체","이루지못한시작의일기","9.39"
"399","메이커","뭐든지 만든다.","9.77"
"400","교환일기","왕따소녀의 교환일기","9.65"
"401","견우화","부도덕한 도사","9.93"
"402","어디사세요?","맞춤형아파트프로젝트","9.88"
"403","소금물 방","오피스 블록버스터","9.88"
"404","시선이 교차하는 곳","과거와 미래를 보다","9.92"
"405","몽글이","멍멍이가 학교가","9.74"
"406","꼬맹이를 부탁해!","꼬맹이와의 일상!","9.93"
"407","티레시아스","판타지 순정만화","9.86"
"408","시선의차이","변화하는 고교생활","9.37"
"409","인생맛집","주관적인 맛집이야기","9.90"
"410","어느 남고생의 하루","말하는강아지와의일상","9.88"
"411","아파지는 중입니다","청춘남녀 성장로맨스","9.75"
"412","행복을 찾다.","소녀의 행복은 현재 진행형?","9.87"
"413","그녀의 거리","그와 그녀의 거리","9.91"
"414","인어를 위한 수영교실","성장 로맨스","9.94"
"415","아옹아옹","두식이 냥육일기","9.93"
"416","병","소년에서 군인으로","9.78"
"417","B텐더","술과 사람의 이야기","9.79"
"418","세이의 RPG","게임 판타지","9.73"
"419","그의 박물관엔 수상한 미라가 있다.","고고학 로맨스","9.89"
"420","찌질라이프","찌질 라이프","9.37"
"421","버티고","버티고","9.71"
"422","불릿 6미리","에어소프트건서바이벌","9.72"
"423","용사를 물리쳐라!","용사를 물리쳐라!","9.90"
"424","나라면 절대 안그래","나라면 절대 안그래","9.49"
"425","가려진 대화","익명으로 보는 내면","9.88"
"426","예서중 유나!","예서중1학년 유나♡","9.38"
"427","힘내라 봉산댁!","촌에도 청춘은 있다!","9.90"
"428","블랙메일","우체부 이야기.","9.06"
"429","오마이갓","신을 뽑는 오디션","9.62"
"430","CAFE_쉬어가게","누구나 쉬어가는 곳","9.89"
"431","고향집","아늑하고 편안해야할","9.83"
"432","신이 없는 세계","깨비깨비 도깨비","9.90"
"433","혼자앤피스","인생은 혼자","9.79"
"434","밤의 아이들은 누가 듣는가","다장르 단편 모음","9.92"
"435","요괴백정","요괴사냥 판타지","9.87"
"436","거미의 상자","일하는악마는 피곤해","9.90"
"437","뿅가이","간다 간다 뿅간다♡","9.86"
"438","우울의 바다","그깊은곳에대하여","9.41"
"439","밀지","독살사건의 음모","9.74"
"440","우민이와 팬티요정","미미는 팬티요정","9.13"
"441","오늘도 랄라","평범하진 않은 가족이야기","9.74"
"442","전염소녀","행복은 전염된다.","9.86"
"443","어느새스며든","삼각관계","9.65"
"444","모죠의 일지","유잼인생","9.89"
"445","드림캡슐(Dream Capsule)","자유연재","9.89"
"446","헛헛하다","daily life","9.76"
"447","반","소년이여 성장하라!","9.84"
"448","달맞이꽃","동양판타지","9.86"
"449","말랑말랑 생활사","말랑말랑한 생활","9.72"
"450","하루한끼 감정일기","아기자기힐링 음식툰","9.84"
"451","강호열전","강호의 여러 인간상","9.91"
"452","멍멍이랑","멍멍","9.89"
"453","유포리아","댄싱 학원물","9.73"
"454","모솔탈출 일대기","모쏠 탈출 일대기!","9.64"
"455","루미인싸이드","청춘가족휴먼스토리","9.87"
"456","땅 보고 걷는 아이","가정폭력을 그린 만화","9.88"
"457","블래커","범죄예측시스템","9.76"
"458","테이커","17살의 킬러","9.84"
"459","왕자님을 찾아라!","왕자찾기 프로젝트","9.88"
"460","4년째 신혼일기","4년차부부의리얼일상","9.76"
"461","봄이와","결혼도 처음 육아도 처음 초보부부의 육아분투기","9.63"
"462","단편들","단편만화","9.91"
"463","러브 햄츄얼리","햄지 연애 성공기","9.70"
"464","미용사","전직용사 현직미용사","9.79"
"465","단편만화","단편 이야기","9.28"
"466","DJ 카일하우스","DJ아빠와 중2아들","9.83"
"467","리베르","리베르","9.32"
"468","정불고교","정체불명 고등학교!","9.62"
"469","지독한악연","내 인생에서 꺼져","8.81"
"470","방안의 코끼리","친구충과 직진연하남","9.83"
"471","우주광부","죽음, 그리고 우주","9.71"
"472","짠이쨍아","엉뚱 발랄 가족툰","9.66"
"473","어린공주","코믹 동화 판타지","9.93"
"474","판타지를 기대하지마","수상한 사람이 왔다","9.84"
"475","악마의 성불사무소","악마와 소년","9.89"
"476","포갓(FOURGOD)","열심히 일하는 신","9.87"
"477","신과 인간","신과 인간의 이야기","9.89"
"478","내 이름을 불러줘","엄마인 삶에서 여성의 삶으로 성장하는 스토리","9.79"
"479","취사병 전설이 되다","군대요리 판타지만화","9.91"
"480","오늘도 오셨네요","김직원입니다","9.25"
"481","우주의 수호천사","우주의 수호천사!","9.88"
"482","버찌와 나","집사와 아기 고양이","9.91"
"483","설레이는 나날","고양이 반려일상!","9.90"
"484","나의 영원한","덕메이트가 생기다","9.66"
"485","반짝반짝 빛나는","반짝반짝빛나는","9.88"
"486","아이테르","현대 판타지","9.86"
"487","오늘은 영웅","한 사람만의 영웅","9.78"
"488","메리 고 라운드","여고생 스쿨라이프","9.88"
"489","은규랑 누나랑","꽁냥꽁냥 러브스토리","9.83"
"490","인생막장","정식 연재 협의 중","9.25"
"491","개시","광해군과 김개시의 政","9.90"
"492","나를 죽이는 방법","새드 스릴러","9.90"
"493","고교 생존기","여고 표류기","9.87"
"494","양치기 소년","일요일 연재","9.77"
"495","셀리아의 어린 연인","판타지로맨스 코미디","9.85"
"496","랭커앤랭커","초능력학원물","9.81"
"497","크리그","마법 판타지 액션","9.83"
"498","블루랜드","색을 잃고 살아남다","9.90"
"499","체리블로섬","너를 만나고 싶어","9.89"
"500","무주의 맹시","삼신할미의 저주풀기","9.90"
"501","평범한 이계의 여고생","차원이동 여고생","9.91"
"502","만화유치원","만화가지망생 유치원가다","9.89"
